carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Commerze @ Irving,1 Irving Place Singapore 369546,369546,07:00 AM - 05:00 PM: $1.00 per 30 mins,05:00 PM - 07:00 AM: $3.00 per entry,,,,,,,07:00 AM - 05:00 PM: $1.00 per 30 mins,05:00 PM - 07:00 AM: $3.00 per entry,,,,,12:00 AM - 12:00 AM: $3.00 per entry,,,,,,
Compass One,1 Sengkang Square Singapore 545078,545078,07:00 AM - 11:00 PM: First hour $1.50; Subsequent 30 mins $0.80,,,,,,,,07:00 AM - 11:00 PM: First hour $1.50; Subsequent 30 mins $0.80,,,,,,07:00 AM - 11:00 PM: First hour $1.50; Subsequent 30 mins $0.80,,,,,,
OrangeTee Building,"430 Lorong 6 Toa Payoh, Singapore 319402",319402,07:00 AM - 06:00 PM: 10 mins grace period; Per 30 mins $1.07,06:00 PM - 12:00 AM: 10 mins grace period; Per 30 mins $0.54,12:00 AM - 07:00 AM: 10 mins grace period; $2.14 per entry,,,,,,07:00 AM - 07:00 AM: 10 mins grace period; $2.14 per entry,,,,,,07:00 AM - 07:00 AM: 10 mins grace period; $2.14 per entry,,,,,,
Orchid Country Club (OCC),"1 Orchid Club Road, Singapore 769162",769162,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Costa Sands Resort (Downtown East),1 Pasir Ris Close Singapore 519599,519599,12:01 AM - 04:59 PM: $0.26 per min; Capped at $15.00,05:00 PM - 12:00 AM: $2.40 per entry,12:01 AM - 04:59 PM: $0.28 per min; Capped at $19.00,05:00 PM - 12:00 AM: $3.40 per entry,12:00 PM - 02:00 PM: Free parking,09:00 PM - 05:00 AM: Free parking,,,09:00 PM - 05:00 AM: Free parking,,,,,,12:01 AM - 04:59 PM: $0.28 per min; Capped at $19.00,05:00 PM - 12:00 AM: $3.40 per entry,09:00 PM - 05:00 AM: Free parking,,,,
CPF Tampines Building Car Park,1 Tampines Central 5 Singapore 529508,529508,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Crocodile House,3 Ubi Avenue 3 Singapore 408857,408857,08:00 AM - 05:00 PM: $1.40 per hour,05:00 PM - 08:00 AM: $2.00 per entry,08:00 AM - 03:00 PM: $2.67 per hour,03:00 PM - 08:00 AM: No parking,,,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Crowne Plaza Changi Airport,75 Airport Boulevard Singapore 819664,819664,12:00 AM - 12:00 AM: $2.40 per hour,,,,,,,,12:00 AM - 12:00 AM: $2.40 per hour,,,,,,12:00 AM - 12:00 AM: $2.40 per hour,,,,,,
Da Jin Factory Building,362 Upper Paya Lebar Road Singapore 534963,534963,08:00 AM - 05:00 PM: $1.33 per hour,05:00 PM - 11:00 PM: $1.63 per entry,11:00 PM - 08:00 AM: No parking,12:00 AM - 12:00 AM: No parking,,,,,08:00 AM - 05:00 PM: $1.33 per hour,05:00 PM - 11:00 PM: $1.63 per entry,11:00 PM - 08:00 AM: No parking,12:00 AM - 12:00 AM: No parking,,,Same as weekdays,,,,,,
East Coast Park Carpark B1,1000 East Coast Parkway Singapore 449876,449876,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
East Coast Park Carpark B2,1000 East Coast Parkway Singapore 449876,449876,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
East Coast Park Carpark C1,1000 East Coast Parkway Singapore 449876,449876,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
East Coast Park Carpark E1,12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
East Coast Park Carpark E2,1220 East Coast Parkway Singapore 468960,468960,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
East Coast Park Carpark E3,12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
East Village,430 Upper Changi Road Singapore 487048,487048,12:00 AM - 12:00 PM: 10 mins grace period; Per 30 mins $0.60,12:00 PM - 02:00 PM: 0 mins grace period; Per 30 mins $0.60,02:00 PM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 PM: 10 mins grace period; Per 30 mins $0.60,12:00 PM - 02:00 PM: 0 mins grace period; Per 30 mins $0.60,02:00 PM - 12:00 AM: Free parking,,,,12:00 AM - 12:00 PM: 10 mins grace period; Per 30 mins $0.60,12:00 PM - 02:00 PM: 0 mins grace period; Per 30 mins $0.60,02:00 PM - 12:00 AM: Free parking,,,,
Eastgate,46 East Coast Road Singapore 428766,428766,08:00 AM - 06:00 PM: First hour $1.60; Subsequent 30 mins $1.00,06:00 PM - 08:00 AM: $2.50 per entry,,,,,,,08:00 AM - 06:00 PM: First hour $1.60; Subsequent 30 mins $1.00,06:00 PM - 08:00 AM: $2.50 per entry,,,,,08:00 AM - 06:00 PM: First hour $1.60; Subsequent 30 mins $1.00,06:00 PM - 08:00 AM: $2.50 per entry,,,,,
Eastpoint Mall,3 Simei Street 6 Singapore 528833,528833,12:00 AM - 12:00 AM: First hour $1.20; Subsequent 15 mins $0.30,,,,,,,,12:00 AM - 12:00 AM: First hour $1.20; Subsequent 15 mins $0.30,,,,,,12:00 AM - 12:00 AM: First hour $1.20; Subsequent 15 mins $0.30,,,,,,
Elias Mall,625 Elias Road Singapore 510625,510625,08:00 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:00 AM: $1.10 per entry,,,,,,,08:00 AM - 05:00 PM: $0.60 per 30 mins,05:00 PM - 08:00 AM: $1.10 per entry,,,,,12:00 AM - 12:00 AM: $1.10 per entry,,,,,,
Eng Say Garden,12 Tai Seng Link #06-02 Singapore 534233,534233,08:00 AM - 11:00 PM: $1.50 per hour,11:00 PM - 08:00 AM: No parking,,,,,,,08:00 AM - 11:00 PM: $1.50 per hour,11:00 PM - 08:00 AM: No parking,,,,,08:00 AM - 11:00 PM: $1.50 per hour,11:00 PM - 08:00 AM: No parking,,,,,
Enterprise Industrial Building,46 Lorong 17 Geylang Singapore 388568,388568,12:00 AM - 12:00 AM: $1.50 per hour,,,,,,,,12:00 AM - 12:00 AM: $1.50 per hour,,,,,,12:00 AM - 12:00 AM: $1.50 per hour,,,,,,
Enterprise One,1 Kaki Bukit Road 1 Singapore 415934,415934,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.70,,,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.70,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.70,,,,,,
Pioneer Road North Industrial Estate,"1 Pioneer Road North, Singapore 628455",628455,07:00 AM - 07:00 PM: hour grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: hour grace period; Per 30 mins $0.60; Capped at $4.00,,,,,,,07:00 AM - 07:00 PM: hour grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: hour grace period; Per 30 mins $0.60; Capped at $4.00,,,,,07:00 AM - 07:00 PM: hour grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: hour grace period; Per 30 mins $0.60; Capped at $4.00,,,,,
Primz Bizhub,"21 Woodlands Close, Singapore 737854",737854,07:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,12:00 AM - 07:00 AM: 10 mins grace period; Per hour $2.40,,,,,,,07:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,12:00 AM - 07:00 AM: 10 mins grace period; Per hour $2.40,,,,,07:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,12:00 AM - 07:00 AM: 10 mins grace period; Per hour $2.40,,,,,
ESR BizPark @ Chai Chee,750 Chai Chee Road Singapore 469000,469000,07:00 AM - 06:00 PM: 15 mins grace period; First hour $1.50; Subsequent 15 mins $0.40,06:00 PM - 11:00 PM: 15 mins grace period; $1.50 per entry,11:00 PM - 07:00 AM: 15 mins grace period; First 15 mins $0.40; Subsequent 15 mins $0.40,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; First hour $1.50; Subsequent 15 mins $0.40,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; First hour $1.50; Subsequent 15 mins $0.40,,,,,,
Proxima @ Gambas,"50 Gambas Crescent, Singapore 757022",757022,07:00 AM - 10:30 PM: $1.28 per hour,10:30 PM - 07:00 AM: $2.14 per entry,,,,,,,07:00 AM - 07:30 AM: $2.14 per entry,,,,,,07:00 AM - 07:30 AM: $2.14 per entry,,,,,,
Republic Polytechnic,"9 Woodlands Ave 9, Singapore 738964",738964,07:00 AM - 07:00 AM: $1.20 per hour,,,,,,,,07:00 AM - 07:00 AM: $1.20 per hour,,,,,,07:00 AM - 07:00 AM: $1.20 per hour,,,,,,
SAFRA Punggol,"9 Sentul Crescent, Singapore 828654",828654,06:00 AM - 06:00 PM: First hour $2.35; Subsequent 15 mins $0.59,06:00 PM - 06:00 AM: $4.05 per entry,,,,,,,06:00 AM - 06:00 PM: First hour $2.35; Subsequent 15 mins $0.59,06:00 PM - 06:00 AM: $4.05 per entry,,,,,06:00 AM - 06:00 AM: $4.05 per entry,,,,,,
SAFRA Toa Payoh,"293 Lorong 6 Toa Payoh, Singapore 319387",319387,06:00 AM - 06:00 PM: First hour $2.35; Subsequent 15 mins $0.59,06:00 PM - 06:00 AM: $4.05 per entry,,,,,,,06:00 AM - 06:00 PM: First hour $2.35; Subsequent 15 mins $0.59,06:00 PM - 06:00 AM: $4.05 per entry,,,,,06:00 AM - 06:00 AM: $4.05 per entry,,,,,,
ESR BizPark @ Changi,"2, 4, 6, 8 Changi Business Park Avenue 1 Singapore 486018",486018,07:00 AM - 06:00 PM: First hour $1.50; Subsequent hour $1.20; Subsequent 30 mins $1.00,06:00 PM - 07:00 AM: $2.50 per entry,,,,,,,07:00 AM - 05:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: $2.50 per entry; First 0 mins free; Subsequent 0 mins free,,,,,07:00 AM - 05:00 PM: First 2 hours $2.50; Subsequent 30 mins $1.20,05:00 PM - 07:00 AM: $2.50 per entry; First 0 mins free; Subsequent 0 mins free,,,,,
SAFRA Yishun,12 Tai Seng Link #06-02 Singapore 534233,534233,06:00 AM - 06:00 PM: First hour $2.10; Subsequent 15 mins $0.52,06:00 PM - 06:00 AM: $4.05 per entry,,,,,,,06:00 AM - 06:00 PM: First hour $2.10; Subsequent 15 mins $0.52,06:00 PM - 06:00 AM: $4.05 per entry,,,,,06:00 AM - 06:00 AM: $4.05 per entry,,,,,,
Eunos Technolink,3 Kaki Bukit Road 1 Singapore 415935,415935,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.70,,,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.70,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.70,,,,,,
Sembawang Clubhouse,"43 Admiralty Road West, Singapore 759962",759962,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Sembawang Country Club,"249 Sembawang Road, Singapore 758352",758352,12:00 AM - 12:00 AM: Free parking,,,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,12:00 AM - 12:00 AM: Free parking,,,,,,
Excalibur Centre,71 Ubi Crescent Singapore 408571,408571,07:30 AM - 05:00 PM: No parking,05:00 PM - 07:30 AM: $2.00 per entry,,,,,,,07:30 AM - 05:00 PM: No parking,05:00 PM - 07:30 AM: $2.00 per entry,,,,,12:00 AM - 12:00 AM: $2.00 per entry,,,,,,
Fairprice Hub,1 Joo Koon Circle Singapore 629117,629117,06:00 AM - 12:00 AM: $1.07 per hour,12:00 AM - 06:00 AM: No parking,,,,,,,06:00 AM - 12:00 AM: $1.07 per hour,12:00 AM - 06:00 AM: No parking,,,,,06:00 AM - 12:00 AM: $1.07 per hour,12:00 AM - 06:00 AM: No parking,,,,,
Sembawang Shopping Centre,"604 Sembawang Road, Singapore 758459",758459,06:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 15 mins $0.43,12:00 AM - 06:00 AM: No parking,,,,,,,06:00 AM - 12:00 AM: 10 mins grace period; First hour $1.50; Subsequent 15 mins $0.43,12:00 AM - 06:00 AM: No parking,,,,,06:00 AM - 12:00 AM: 10 mins grace period; First hour $1.50; Subsequent 15 mins $0.43,12:00 AM - 06:00 AM: No parking,,,,,
Sengkang Grand Mall,"70 Compassvale Bow, Singapore 544692",544692,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.55; Subsequent 15 mins $0.40,06:00 PM - 07:00 AM: 10 mins grace period; $2.60 per entry,,,,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.55; Subsequent 15 mins $0.40,06:00 PM - 07:00 AM: 10 mins grace period; $2.60 per entry,,,,,07:00 AM - 06:00 PM: 10 mins grace period; First hour $1.55; Subsequent 15 mins $0.40,06:00 PM - 07:00 AM: 10 mins grace period; $2.60 per entry,,,,,
Geylang Field,30 Lorong 12 Geylang Singapore 399005,399005,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
Senoko Fishery Port,"31 Attap Valley Road, Singapore 759908",759908,07:00 AM - 07:00 AM: $2.70 per entry,,,,,,,,07:00 AM - 07:00 AM: $2.70 per entry,,,,,,07:00 AM - 07:00 AM: $2.70 per entry,,,,,,
Geylang Serai Market,1 Geylang Serai Singapore 402001,402001,07:00 AM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,07:00 AM - 10:30 PM: $0.03 per min,,,,,,Same as weekdays,,,,,,07:00 AM - 10:30 PM: $0.03 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,
Golden Mile Food Court,505 Beach Road Singapore 199583,199583,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 10:30 PM: $0.03 per min,10:30 PM - 07:00 AM: No parking,,,,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 10:30 PM: $0.03 per min,10:30 PM - 07:00 AM: No parking,,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 10:30 PM: $0.03 per min,10:30 PM - 07:00 AM: No parking,,,,
Goodwill Court,81 Upper East Coast Road Singapore 455220,455220,12:00 AM - 12:00 AM: 5 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,,,,,,,,12:00 AM - 12:00 AM: 5 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,,,,,,12:00 AM - 12:00 AM: 5 mins grace period; First hour $1.40; Subsequent 30 mins $0.70,,,,,,
Gordon Warehouse Building,9 Kaki Bukit Road 2 Singapore 417842,417842,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,07:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.20,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,07:00 AM - 06:00 PM: 10 mins grace period; Per hour $1.20,,,,,Same as weekdays,,,,,,
Grand Mercure Roxy Hotel,12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: $1.60 per hour,,,,,,,,12:00 AM - 12:00 AM: $1.60 per hour,,,,,,12:00 AM - 12:00 AM: $1.60 per hour,,,,,,
Great Eastern @ Changi,200 Changi Road Singapore 419734,419734,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Hainanese Village Centre (Lorong Ah Soo Market),105 Hougang Avenue 1 Singapore 530105,530105,07:00 AM - 11:00 AM: $0.02 per min,11:00 AM - 02:00 PM: $0.03 per min,02:00 PM - 07:00 AM: $0.02 per min,,,,,,07:00 AM - 02:00 PM: $0.03 per min,02:00 PM - 07:00 AM: $0.02 per min,,,,,07:00 AM - 02:00 PM: $0.03 per min,02:00 PM - 07:00 AM: $0.02 per min,,,,,
HDB Bedok Town Centre Blk 204,204 Bedok North Street 1 Singapore 460204,460204,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,
HDB Bedok Town Centre Blk 208A,208A New Upper Changi Road Singapore 461208,461208,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,
22 Martin Road,22 Martin Road Singapore 239058,239058,07:00 AM - 06:00 PM: First 5 mins $0.10; Subsequent hour $2.00,06:00 PM - 02:00 AM: First 5 mins $0.10; Subsequent hour $3.00,02:00 AM - 07:00 AM: No parking,,,,,,07:00 AM - 02:00 AM: First 5 mins $0.10; Subsequent hour $3.00,02:00 AM - 07:00 AM: No parking,,,,,07:00 AM - 02:00 AM: First 5 mins $0.10; Subsequent hour $3.00,02:00 AM - 07:00 AM: No parking,,,,,
HDB Bedok Town Centre Blk 211,211 New Upper Changi Road Singapore 460211,460211,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,07:00 AM - 10:00 AM: $0.02 per min,10:00 AM - 08:00 PM: $0.03 per min,08:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,
HDB Blk 700A (Pasir Ris Drive 10),710A Pasir Ris Drive 10 Singapore 511700,511700,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
HDB Blk 710A (Pasir Ris Street 72),"710A Pasir Ris Street 72, S(511710",511710,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
HDB Blk 718A (Pasir Ris Street 72),718A Pasir Ris Street 72 Singapore 511718,511718,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $0.60,12:00 AM - 12:00 AM: 15 mins grace period; $0.65 per entry,12:00 AM - 12:00 AM: 15 mins grace period; Per 30 mins $1.20,,,,
61 Robinson,61 Robinson Road Singapore 068893,068893,08:00 AM - 05:00 PM: $2.40 per 30 mins,05:00 PM - 12:00 AM: $3.00 per entry,08:00 AM - 01:00 PM: $2.40 per 30 mins,01:00 PM - 12:00 AM: $2.50 per entry,12:00 AM - 08:00 AM: $20.00 per entry,,,,12:00 AM - 08:00 AM: $20.00 per entry,,,,,,07:00 AM - 12:00 AM: $3.00 per entry,12:00 AM - 08:00 AM: $20.00 per entry,,,,,
71 Robinson Road,71 Robinson Road Singapore 068895,068895,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Heartbeat @ Bedok,11 Bedok North Street 1 Singapore 469662,469662,07:00 AM - 12:00 PM: $0.02 per min,12:00 PM - 02:00 PM: Free parking,02:00 PM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,07:00 AM - 10:30 PM: $0.02 per min,10:30 PM - 07:00 AM: $0.02 per min; Capped at $5.00,,,,,
Heartland Mall,205 Hougang Street 21 Singapore 530205,530205,07:00 AM - 10:30 PM: $1.00 per hour,10:30 PM - 07:00 AM: $2.00 per hour,,,,,,,07:00 AM - 10:30 PM: $1.00 per hour,10:30 PM - 07:00 AM: $2.00 per hour,,,,,07:00 AM - 10:30 PM: $1.00 per hour,10:30 PM - 07:00 AM: $2.00 per hour,,,,,
ABI Plaza,11 Keppel Road Singapore 089057,089057,08:00 AM - 06:00 PM: First hour $4.28; Subsequent 30 mins $2.68,06:00 PM - 08:00 AM: $4.28 per entry,08:00 AM - 01:00 PM: First hour $4.28; Subsequent 30 mins $2.68,01:00 PM - 08:00 AM: $4.28 per entry,,,,,Same as weekdays,,,,,,08:00 AM - 08:00 AM: $4.28 per entry,,,,,,
ACTION Theatre,42 Waterloo Street Singapore 187951,187951,12:00 AM - 12:00 AM: No parking,,,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
